City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
491,Yantarnyy,RU,59.0,light rain,54.87,19.94,Sshloss Hotel Yantarny
493,Santa Maria,BR,53.56,clear sky,-29.68,-53.81,Hotel Morotin
494,Moyale,KE,64.09,overcast clouds,3.52,39.06,Latahzan guest house
499,Knysna,ZA,55.4,broken clouds,-34.04,23.05,Protea Hotel by Marriott Knysna Quays
500,Landeck,AT,53.6,clear sky,47.13,10.56,Hotel Jägerhof
504,Nsoko,SZ,60.8,clear sky,-27.03,31.95,KaMsholo Bushveld Safaris
506,Pires Do Rio,BR,59.25,clear sky,-17.3,-48.28,Hotel Goiano - Pires do Rio
508,Villa Carlos Paz,AR,61.0,clear sky,-31.42,-64.5,Monte Carlo
509,Bati,ET,67.08,light rain,11.18,40.02,Adi 01 Kebele
510,Narsaq,GL,42.8,clear sky,60.92,-46.05,Hotel Narsaq
512,Bumba,CD,69.4,overcast clouds,2.18,22.47,Hôtel Cape Town
513,Zaragoza,ES,66.2,clear sky,41.66,-0.88,Hotel Goya
516,Moshkovo,RU,59.0,clear sky,55.31,83.61,Rubin
519,Zhigansk,RU,49.78,clear sky,66.77,123.37,Gostinichnyy Kompleks Aylgy
523,Belozerskoye,RU,54.84,clear sky,55.82,65.58,
525,Severo-Yeniseyskiy,RU,61.07,scattered clouds,60.37,93.04,Aktolik
527,Bjornevatn,NO,55.4,light rain,69.67,29.98,Snowhotel Kirkenes | Gamme Northern Lights Cabins
531,Chatellerault,FR,55.0,broken clouds,46.8,0.53,La Gourmandine
533,Chicama,PE,59.88,clear sky,-7.84,-79.15,Hospedaje Punta Cana PERU
536,Maldonado,UY,55.0,clear sky,-34.67,-54.92,La Cimarrona
540,Moree,AU,59.0,clear sky,-29.47,149.85,Molika Springs Motel
543,Harbour Breton,CA,59.0,scattered clouds,47.48,-55.8,Southern Port Hotel
544,Valparaiso,CL,54.0,overcast clouds,-33.04,-71.63,Hotel Ultramar
545,Danszentmiklos,HU,61.0,broken clouds,47.21,19.55,Botanica Vendégház
551,Dubbo,AU,53.6,scattered clouds,-32.25,148.62,Comfort Inn Blue Lagoon
552,Yerbogachen,RU,61.0,scattered clouds,61.28,108.01,
553,Inta,RU,50.61,clear sky,66.03,60.17,Apartments in Inta city
558,Paamiut,GL,42.13,few clouds,61.99,-49.67,Yeet Hotel
559,Saint-Augustin,CA,55.26,broken clouds,51.23,-58.65,
563,Maceio,BR,68.0,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
565,Kondinskoye,RU,54.54,overcast clouds,59.65,67.41,
566,Marystown,CA,59.0,clear sky,47.17,-55.15,Marystown Hotel & Convention Centre
569,Monte Patria,CL,50.23,broken clouds,-30.69,-70.95,Hotel Monte Cordillera
571,Acolla,PE,45.9,clear sky,-11.73,-75.55,Hospedaje La Cebadita
572,Leningradskiy,RU,44.91,overcast clouds,69.38,178.42,
573,Haines Junction,CA,60.75,broken clouds,60.75,-137.51,Parkside Inn
574,Ust-Ordynskiy,RU,62.6,few clouds,52.8,104.75,Hotel Metelitsa
575,Ust-Nera,RU,47.8,overcast clouds,64.57,143.2,Hotel Ust-Nera
577,Te Anau,NZ,54.66,scattered clouds,-45.42,167.72,Kingsgate Hotel Te Anau
578,Egvekinot,RU,51.55,broken clouds,66.32,-179.17,
579,Lima,PE,62.6,overcast clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
580,Richards Bay,ZA,59.74,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
581,Adre,TD,68.29,moderate rain,13.47,22.2,
582,Smithers,CA,60.8,broken clouds,54.78,-127.17,Prestige Hudson Bay Lodge
584,Pisco,PE,62.01,overcast clouds,-13.7,-76.22,Hostal San Isidro Oficial
585,Yongan,CN,69.19,scattered clouds,39.7,113.69,Beiyue International Hotel
588,Yangambi,CD,68.5,overcast clouds,0.81,24.43,
589,Mpongwe,ZM,51.4,broken clouds,-13.51,28.16,GCMF Office & Lodge
590,Marivan,IR,60.21,clear sky,35.52,46.18,Miran Hotel
591,Batemans Bay,AU,60.01,clear sky,-35.72,150.18,Coachhouse Marina Resort - Batemans Bay
592,Quchan,IR,61.14,clear sky,37.11,58.51,Rayehe perfume shop
596,La Baule-Escoublac,FR,55.99,broken clouds,47.29,-2.36,Hôtel Barrière Le Royal La Baule
599,Muzhi,RU,52.97,overcast clouds,65.37,64.67,
600,Cochrane,CA,66.0,broken clouds,51.18,-114.47,Days Inn & Suites by Wyndham Cochrane
601,Butembo,CD,56.05,light rain,0.15,29.28,Hotel Butembo
604,Cap-Aux-Meules,CA,66.2,light rain,47.38,-61.86,Auberge Madeli
608,Sistranda,NO,48.2,shower rain,63.73,8.83,Hotell Frøya
609,Chokwe,MZ,60.64,clear sky,-24.53,32.98,Complexo Sonho Real
610,Atikokan,CA,64.06,scattered clouds,48.76,-91.62,Camp Quetico
614,Sebeta,ET,55.4,broken clouds,8.92,38.62,Alem Hotel And Milto Cinema
615,Kedrovyy,RU,57.2,light intensity shower rain,56.17,91.82,
619,Palana,RU,45.55,light rain,59.12,159.97,
621,Whitecourt,CA,64.4,broken clouds,54.15,-115.69,Super 8 by Wyndham Whitecourt
623,Tromso,NO,50.0,broken clouds,69.65,18.96,"Radisson Blu Hotel, Tromsø"
624,Zhigalovo,RU,61.14,overcast clouds,54.81,105.16,"Hotel ""Lenatur"""
628,Chenove,FR,59.0,overcast clouds,47.29,5.0,Novotel Dijon Route des Grands Crus
629,Leshukonskoye,RU,58.12,overcast clouds,64.9,45.76,Gostinitsa Mup Zhkkh
631,Limoges,FR,55.4,scattered clouds,45.75,1.33,Hôtel Le Saint Eloi Logis & SPA - Restaurant C. Pasquier
633,Milton Keynes,GB,54.0,scattered clouds,52.04,-0.76,Holiday Inn Milton Keynes - Central
634,Maridi,SS,64.9,overcast clouds,4.92,29.47,
635,Lamas,PE,65.21,scattered clouds,-6.42,-76.53,Peru Selva Tarapoto Lamas Linda
