City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Puerto Ayora,EC,-0.74,-90.35,66.0,66.0,89,27,3.0,scattered clouds
105,Kununurra,AU,-15.77,128.73,91.4,91.4,13,0,8.05,clear sky
106,Sorland,NO,67.67,12.69,52.92,52.92,79,33,22.12,light rain
107,Pishva,IR,35.31,51.73,66.2,64.4,59,0,18.34,clear sky
108,Amethi,IN,26.15,81.82,84.7,84.7,73,31,7.76,scattered clouds
109,Avarua,CK,-21.21,-159.78,75.2,75.2,69,6,4.7,clear sky
110,Walvis Bay,NA,-22.96,14.51,54.0,51.8,93,0,6.93,clear sky
111,Castro,BR,-24.79,-50.01,48.2,48.2,91,53,13.49,broken clouds
112,Vila Velha,BR,-20.33,-40.29,66.2,66.0,77,4,11.41,clear sky
113,Kenora,CA,49.82,-94.43,69.8,69.01,88,75,2.24,broken clouds
114,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,66.51,66.51,45,100,7.52,overcast clouds
115,Belmonte,BR,-15.86,-38.88,66.2,66.2,88,75,8.05,broken clouds
116,Kapit,MY,2.02,112.93,85.6,85.6,72,35,2.71,light rain
117,Kahului,US,20.89,-156.47,89.6,75.99,46,40,19.46,scattered clouds
118,Luderitz,NA,-26.65,15.16,55.56,55.56,72,0,8.7,clear sky
119,Gagarin,RU,55.55,35.0,60.19,60.19,74,84,10.54,broken clouds
120,Rjukan,NO,59.88,8.59,41.0,41.0,86,0,7.63,clear sky
121,Talnakh,RU,69.49,88.4,60.8,60.8,72,40,20.13,scattered clouds
122,Cam Ranh,VN,11.92,109.16,93.2,93.2,63,20,4.7,few clouds
123,Rocha,UY,-34.48,-54.33,50.92,50.92,89,0,11.23,clear sky
124,Aksu,CN,41.12,80.26,84.99,84.99,23,0,3.56,clear sky
125,Mountain Home,US,43.13,-115.69,86.0,86.0,23,1,9.17,clear sky
126,Aktanysh,RU,55.72,54.08,57.79,57.79,88,74,4.99,broken clouds
127,Saint George,US,37.1,-113.58,86.0,75.0,37,40,29.97,heavy intensity rain
128,Hovd,MN,48.01,91.64,65.14,65.14,34,99,0.49,overcast clouds
129,Plettenberg Bay,ZA,-34.05,23.37,57.9,57.9,84,100,5.06,light rain
130,Tripoli,LY,32.88,13.19,79.77,79.77,80,36,9.78,scattered clouds
131,Naze,JP,28.37,129.48,78.8,78.8,100,75,29.97,light intensity shower rain
132,Upernavik,GL,72.79,-56.15,43.97,43.97,80,100,2.53,overcast clouds
133,Aswan,EG,24.09,32.91,79.27,79.27,30,0,2.93,clear sky
134,Port Alfred,ZA,-33.59,26.89,57.47,57.47,81,100,10.13,overcast clouds
135,Campo Verde,BR,-20.42,-54.07,68.0,68.0,52,0,11.41,clear sky
136,Kaeo,NZ,-35.1,173.78,57.99,57.99,3,78,10.0,light rain
137,Tautira,PF,-17.73,-149.15,80.6,80.01,69,40,5.82,scattered clouds
138,Olafsvik,IS,64.89,-23.71,49.41,49.41,74,10,3.27,clear sky
139,Loralai,PK,30.37,68.6,77.99,77.99,61,5,3.24,light rain
140,Hobyo,SO,5.35,48.53,75.06,75.06,79,93,20.6,overcast clouds
141,Terney,RU,45.05,136.61,70.99,70.99,63,99,5.64,overcast clouds
142,Oneida,US,43.2,-75.47,71.6,69.01,73,1,5.82,clear sky
143,Harper,LR,4.38,-7.72,75.9,75.9,81,100,7.11,overcast clouds
144,Dwarka,IN,22.24,68.97,82.99,82.99,82,100,19.77,moderate rain
145,Kangaatsiaq,GL,68.31,-53.46,43.5,43.5,88,0,10.36,clear sky
146,Nacala,MZ,-14.54,40.67,66.09,66.09,90,100,7.2,overcast clouds
147,Aipe,CO,3.22,-75.24,76.91,76.91,67,97,1.16,light rain
148,Yar-Sale,RU,66.83,70.83,53.87,53.87,86,86,13.56,overcast clouds
149,Port Lincoln,AU,-34.73,135.87,54.01,54.01,66,99,6.93,overcast clouds
150,Zunyi,CN,27.69,106.91,76.01,76.01,83,94,5.82,light rain
151,Honolulu,US,21.31,-157.86,87.8,78.01,48,20,19.46,few clouds
152,Okhotsk,RU,59.38,143.3,55.42,55.42,59,98,6.62,overcast clouds
153,Marienburg,PL,54.04,19.03,55.0,52.0,100,0,7.43,clear sky
154,Lasa,IT,46.62,10.7,53.6,53.6,93,5,5.82,clear sky
155,Hilo,US,19.73,-155.09,82.4,72.0,69,90,8.05,heavy intensity rain
156,Aykhal,RU,66.0,111.5,55.4,55.4,47,0,4.47,clear sky
157,Yulara,AU,-25.24,130.99,77.0,77.0,18,0,10.29,clear sky
158,Kruisfontein,ZA,-34.0,24.73,55.0,55.0,88,100,4.0,light rain
159,Nuuk,GL,64.18,-51.72,37.4,37.4,100,88,4.7,haze
160,Ilulissat,GL,69.22,-51.1,39.2,39.2,80,0,4.16,clear sky
161,Antofagasta,CL,-23.65,-70.4,57.2,57.2,76,90,4.7,overcast clouds
162,Lavrentiya,RU,65.58,-171.0,48.88,48.88,90,100,5.26,overcast clouds
163,Aklavik,CA,68.22,-135.01,71.6,71.6,46,75,9.17,broken clouds
164,Fallon,US,39.47,-118.78,89.6,88.0,17,1,10.29,clear sky
165,Teacapan,MX,22.55,-105.75,81.95,81.95,85,26,3.33,light rain
166,Turmalina,BR,-17.29,-42.73,53.51,53.51,95,49,2.13,scattered clouds
167,Diffa,NE,13.32,12.61,76.24,76.24,76,46,9.91,scattered clouds
168,Kurmanayevka,RU,52.51,52.07,57.54,57.54,82,0,4.76,clear sky
169,Porto Murtinho,BR,-21.7,-57.88,64.94,64.94,74,0,5.39,clear sky
170,Palmer,US,42.16,-72.33,69.8,64.99,88,75,5.82,broken clouds
171,Abha,SA,18.22,42.51,71.6,69.8,56,61,3.71,broken clouds
172,Tiksi,RU,71.69,128.87,41.02,41.02,70,93,12.71,overcast clouds
173,San Quintin,MX,30.48,-115.95,75.4,75.4,71,0,8.79,clear sky
174,Bodo,NO,67.28,14.4,50.0,48.0,76,75,9.17,shower rain
175,Chuy,UY,-33.7,-53.46,53.69,53.69,89,0,10.71,clear sky
176,Sokur,RU,55.21,83.32,59.0,59.0,87,0,4.47,clear sky
177,Quesnel,CA,53.0,-122.5,60.8,60.8,77,1,2.24,clear sky
178,Jaguaribe,BR,-5.89,-38.62,71.96,71.96,80,5,3.02,clear sky
179,Outlook,CA,51.5,-107.05,68.09,68.09,36,41,6.04,scattered clouds
180,Isangel,VU,-19.55,169.27,82.67,82.67,73,21,6.82,light rain
181,Juneau,US,58.3,-134.42,57.0,55.4,93,90,5.82,light rain
182,Grand Gaube,MU,-20.01,57.66,72.0,72.0,72,38,10.0,scattered clouds
183,Hasaki,JP,35.73,140.83,89.01,86.0,70,75,12.75,broken clouds
184,Mayo,US,38.89,-76.51,78.01,73.99,94,40,9.01,scattered clouds
185,Rio Gallegos,AR,-51.62,-69.22,33.8,33.8,69,10,12.75,clear sky
186,Puerto Baquerizo Moreno,EC,-0.9,-89.6,64.87,64.87,86,63,12.35,broken clouds
187,Great Falls,US,47.5,-111.3,86.0,75.99,23,1,6.93,clear sky
188,Kapoeta,SS,4.77,33.59,72.28,72.28,83,63,1.68,light rain
189,Coihaique,CL,-45.58,-72.07,33.8,33.8,95,79,4.7,broken clouds
190,Potrero Del Llano,MX,21.05,-97.68,74.73,74.73,90,25,0.56,light rain
191,Santa Maria Do Suacui,BR,-18.19,-42.41,56.37,56.37,86,66,1.07,broken clouds
192,Borskoye,RU,53.03,51.72,57.9,57.9,85,9,3.8,clear sky
193,Manaure,CO,11.78,-72.44,83.62,83.62,75,72,6.76,light rain
194,Port Macquarie,AU,-31.43,152.92,66.0,64.99,35,0,1.99,clear sky
195,Thinadhoo,MV,0.53,72.93,82.81,82.81,71,73,7.05,moderate rain
196,Borazjan,IR,29.27,51.22,89.6,89.6,70,0,9.17,clear sky
197,Ahuimanu,US,21.44,-157.84,87.8,78.01,62,40,11.41,scattered clouds
198,Denpasar,ID,-8.65,115.22,82.4,82.4,83,20,10.29,few clouds
199,Bathsheba,BB,13.22,-59.52,80.6,80.6,83,40,8.05,scattered clouds
200,Aranos,NA,-24.13,19.12,53.94,53.94,50,0,9.53,clear sky
201,Bethel,US,41.37,-73.41,73.4,69.01,88,1,3.02,clear sky
